description,price/TB,idle,noise
"Western Digital WD Red Plus 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD30EFPX - - - €158",52.67,3.1,23
"Seagate IronWolf NAS HDD +Rescue 4TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 2er-Pack - - - ST4000VN006_X2 - - - €211.9",52.98,3.96,23
"Seagate BarraCuda Compute 1TB, 512e / 2.5 / SATA 6Gb/s - - - ST1000LM048 / ST1000LMA48 - - - €53.61",53.61,0.45,20
"Seagate Constellation ES.3 4TB, 24/7, 3.5 / SAS 6Gb/s - - - ST4000NM0023 - - - €214.95",53.74,7.8,28
"Western Digital WD Red 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD80EFZX - - - €429.95",53.74,5.2,20
"Western Digital Ultrastar DC HC510 8TB, ISE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH721008ALE600 / 0F27455 - - - €429.95",53.74,5,20
"Western Digital Ultrastar DC HC510 8TB, ISE, 24/7, 4Kn / 3.5 / SAS 12Gb/s - - - HUH721008AL4200 / 0F27406 - - - €429.95",53.74,5.8,20
"Toshiba Enterprise Capacity MG06ACA 8TB, 24/7, 4Kn / 3.5 / SATA 6Gb/s - - - MG06ACA800A - - - €429.95",53.74,6.4,34
"Toshiba MQ01ACF 500GB, 512e / 2.5 / SATA 6Gb/s - - - MQ01ACF050 - - - €26.99",53.98,0.8,23
"Western Digital WD Purple 1TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD11PURZ - - - €54.15",54.15,3.2,21
"Seagate IronWolf NAS HDD 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST6000VN0041 - - - €327.75",54.63,7.2,28
"Western Digital WD_BLACK 4TB, 512e / 3.5 / SATA 6Gb/s - - - WD4006FZBX - - - €218.87",54.72,5.4,29
"Western Digital WD Blue Mobile 1TB, 512e / 2.5 / SATA 6Gb/s - - - WD10SPZX - - - €54.75",54.75,0.5,19
"Western Digital WD Purple NV 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD6NPURX - - - €328.95",54.83,4.9,25
"Western Digital WD Blue 1TB, 512e / 3.5 / SATA 6Gb/s - - - WD10EZEX - - - €54.9",54.9,6.1,29
"Western Digital WD Red Plus 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD20EFRX - - - €109.95",54.98,2.7,23
"HGST Deskstar NAS 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - H3IKNAS40003272SE / 0S03665 - - - €219.95",54.99,6.9,23.5
"Seagate Constellation ES.3 4TB, TCG FIPS, 24/7, 3.5 / SAS 6Gb/s - - - ST4000NM0063 - - - €219.95",54.99,7.8,28
"Western Digital WD Blue 6TB, 512e / 3.5 / SATA 6Gb/s - - - WD60EZRZ - - - €329.95",54.99,3.4,25
"Western Digital Ultrastar DC HC510 10TB, ISE, 24/7, 4Kn / 3.5 / SATA 6Gb/s - - - HUH721010ALN600 / 0F27502 - - - €549.95",55,5,20
"Western Digital WD Red Pro 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD2002FFSX - - - €111.82",55.91,6,29
"Western Digital WD Red Plus 6TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 2er-Pack - - - WD60EFPX_X2 - - - €336.81",56.14,3.1,23
"Western Digital Ultrastar DC HC510 8TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH721008ALE604 / 0F27612 - - - €449.95",56.24,5,20
"HGST Ultrastar He8 8TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - HUH728080AL5204 / 0F23657 - - - €449.95",56.24,5.7,20
"Western Digital WD Red Plus 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD20EFZX - - - €112.77",56.39,3.1,23
"Western Digital WD Red Plus 4TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 2er-Pack - - - WD40EFPX_X2 - - - €225.68",56.42,3.1,23
"Western Digital WD Blue 1TB, 512e / 3.5 / SATA 6Gb/s - - - WD10EZRZ - - - €56.48",56.48,2.5,21
"Western Digital WD_BLACK Mobile 500GB, 512e / 2.5 / SATA 6Gb/s - - - WD5000LPLX - - - €28.46",56.92,0.85,23
"Western Digital WD AV-25 500GB, 24/7, 512e / 2.5 / SATA 3Gb/s - - - WD5000LUCT - - - €28.7",57.4,0.8,17
"Seagate Laptop SSHD 1TB, 2.5 / SATA 6Gb/s - - - ST1000LM014 - - - €58",58,0.9,22
"Seagate BarraCuda Pro +Rescue 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST6000DM004 / ST6000DMA04 - - - €349.95",58.33,7.2,30
"HGST Ultrastar 7K6000 6TB, ISE, 24/7, 4Kn / 3.5 / SAS 12Gb/s - - - HUS726060AL4210 / 0F22790 - - - €349.95",58.33,7.7,29
"Western Digital WD Blue 1TB, 512e / 3.5 / SATA 6Gb/s - - - WD10EARZ - - - €58.42",58.42,2.4,21
"HGST Ultrastar He8 8TB, ISE, 24/7, 4Kn / 3.5 / SAS 12Gb/s - - - HUH728080AL4200 / 0F23651 - - - €469.95",58.74,5.7,20
"Western Digital WD Ae 6TB, 512e / 3.5 / SATA 6Gb/s - - - WD6001F4PZ - - - €353.87",58.98,4.8,25
"Seagate BarraCuda Compute 1TB, 512e / 3.5 / SATA 6Gb/s - - - ST1000DM014 / ST1000DMA14 - - - €58.99",58.99,3.9,29
"Western Digital WD Red Plus 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD30EFRX - - - €177.75",59.25,3,23
"Toshiba Mobile HDD MQ01-Series 1TB, 512e / 2.5 / SATA 3Gb/s - - - MQ01ABD100 - - - €59.9",59.9,0.55,23
"Western Digital WD Red 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD20EFAX - - - €119.82",59.91,2.3,21
"Western Digital WD Blue 500GB, 512n / 3.5 / SATA 6Gb/s - - - WD5000AAKX - - - €29.99",59.98,5.6,29
"Seagate Constellation ES.3 4TB, SED, 24/7, 3.5 / SATA 6Gb/s - - - ST4000NM0053 - - - €239.95",59.99,6.73,28
"Seagate SkyHawk Lite 1TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST1000VX008 - - - €60.34",60.34,2.5,20
"Western Digital WD AV-25 1TB, 24/7, 512e / 2.5 / SATA 3Gb/s - - - WD10JUCT - - - €60.43",60.43,0.59,24
"Western Digital Ultrastar DC HA210 2TB, SE, 24/7, 512n / 3.5 / SATA 6Gb/s - - - HUS722T2TALA604 / 1W10002 - - - €121.61",60.81,5.9,25
"Seagate Desktop HDD 500GB, 512e / 3.5 / SATA 6Gb/s - - - ST500DM002 - - - €30.49",60.98,4.6,27
"HGST Ultrastar He8 8TB, ISE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH728080ALE600 / 0F23267 - - - €489.95",61.24,5.1,20
"HGST Ultrastar He8 8TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH728080ALE604 / 0F23668 - - - €489.95",61.24,5.1,20
"Western Digital WD Gold 2TB, 24/7, 512n / 3.5 / SATA 6Gb/s - - - WD2005FBYZ - - - €123.7",61.85,5.9,25
"Western Digital WD Blue 500GB, 512e / 3.5 / SATA 6Gb/s - - - WD5000AZLX - - - €31",62,2.5,29
"Toshiba Mobile HDD MQ01-Series 500GB, 512e / 2.5 / SATA 3Gb/s - - - MQ01ABD050 - - - €31.21",62.42,0.55,17
"Western Digital WD Red Plus 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD80EFAX - - - €499.95",62.49,5.3,27
"Seagate SkyHawk 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST3000VX010 - - - €187.75",62.58,4,30
"Seagate Surveillance HDD 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST3000VX000 - - - €187.95",62.65,5.4,26
"Seagate Constellation ES.3 3TB, 24/7, 3.5 / SAS 6Gb/s - - - ST3000NM0023 - - - €189.95",63.32,6.74,28
"Seagate Constellation ES.2 3TB, 24/7, 3.5 / SATA 6Gb/s - - - ST33000650NS - - - €189.95",63.32,7.7,28
"Toshiba Enterprise Capacity MG04ACA 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG04ACA600E - - - €379.95",63.33,6,31
"Seagate Terascale 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST4000NC001 - - - €256.41",64.1,4.59,28
"Toshiba Enterprise Capacity MG10-D ADA 2TB, 24/7, 512e/4Kn / 3.5 / SATA 6Gb/s - - - MG10ADA200E - - - €128.5",64.25,3.49,34
"Western Digital WD Red Pro 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD6001FFWX - - - €388.8",64.8,7.4,31
"Western Digital WD Red Plus 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD100EFAX - - - €648.95",64.9,2.8,20
"Western Digital WD Green 3TB, 512e / 3.5 / SATA 6Gb/s - - - WD30EZRX - - - €194.86",64.95,3,23
"Western Digital WD Gold 4TB, 24/7, 512n / 3.5 / SATA 6Gb/s - - - WD4002FYYZ - - - €259.95",64.99,7,29
"Seagate Desktop HDD 6TB, 512e / 3.5 / SATA 6Gb/s - - - ST6000DM001 - - - €389.95",64.99,7.2,24
"Seagate SkyHawk +Rescue 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST3000VX009 - - - €197.95",65.98,2.5,22
"Toshiba L200 Laptop PC Slim 1TB, 512e / 2.5 / SATA 6Gb/s, retail - - - HDWL110EZSTA - - - €66.44",66.44,0.85,23
"Western Digital WD Red 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD30EFAX - - - €199.75",66.58,3.1,23
"Western Digital WD Red Plus 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD30EFZX - - - €199.95",66.65,3.1,23
"Seagate Constellation ES.2 3TB, SED, 24/7, 3.5 / SATA 6Gb/s - - - ST33000651NS - - - €199.95",66.65,7.7,28
"Toshiba Enterprise Capacity MG04SCA 6TB, 24/7, 512e / 3.5 / SAS 12Gb/s - - - MG04SCA60EE - - - €399.95",66.66,6.1,34
"Toshiba Enterprise Capacity MG04ACA 4TB, 24/7, 512n / 3.5 / SATA 6Gb/s - - - MG04ACA400N - - - €267.95",66.99,6,31
"Seagate NAS HDD 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST4000VN000 - - - €268.95",67.24,3.95,23
"HGST Ultrastar 7K6000 4TB, ISE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUS726040ALE610 / 0F23005 - - - €269.95",67.49,7.1,29
"HGST Deskstar 7K4000 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HDS724040ALE640 / H3IK40003272SW / 0F14681 - - - €269.95",67.49,6.9,29
"Seagate Laptop Thin SSHD 500GB, 2.5 / SATA 6Gb/s - - - ST500LM000 - - - €33.9",67.8,0.9,20
"Western Digital WD Red/NAS 1TB, 24/7, 512e / 3.5 / SATA 6Gb/s, retail - - - WDBMMA0010HNC - - - €67.9",67.9,2.5,21
"Western Digital WD Gold 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD8002FRYZ - - - €543.45",67.93,5.1,20
"Western Digital WD_BLACK 2TB, 512e / 3.5 / SATA 6Gb/s - - - WD2003FZEX - - - €137.86",68.93,8.1,29
"Toshiba Enterprise Capacity MG04ACA 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG04ACA200E - - - €138.18",69.09,6,31
"Seagate Desktop SSHD 2TB, 512e / 3.5 / SATA 6Gb/s - - - ST2000DX001 - - - €139.24",69.62,3.9,24
"HGST Travelstar Z7K500.B 500GB, 512e / 2.5 / SATA 6Gb/s - - - HTS725050B7E630 / 1W10098 - - - €34.9",69.8,0.85,23
"Seagate IronWolf NAS HDD +Rescue 1TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST1000VN008 - - - €69.88",69.88,2.5,23
"Western Digital WD Blue 2TB, 512e / 3.5 / SATA 6Gb/s - - - WD20EZRZ - - - €139.95",69.98,3,23
"HGST Ultrastar 7K6000 4TB, SE, 24/7, 512n / 3.5 / SATA 6Gb/s - - - HUS726040ALA614 / 0F23102 - - - €279.95",69.99,7.1,29
"Toshiba Enterprise Capacity MG10-D SDA 2TB, 24/7, 512e/4Kn / 3.5 / SAS 12Gb/s - - - MG10SDA200E - - - €141.92",70.96,3.26,34
"Seagate BarraCuda Pro Compute 1TB, 512e / 2.5 / SATA 6Gb/s - - - ST1000LM049 / ST1000LMA49 - - - €71.56",71.56,0.7,20
"HGST Ultrastar 7K6000 6TB, ISE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - HUS726060AL5210 / 0F22791 - - - €429.75",71.63,7.7,29
"Western Digital WD Red 5TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD50EFRX - - - €359",71.8,3.4,25
"HGST Ultrastar He6 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUS726060ALA640 / 0F18335 - - - €434.78",72.46,3.7,20
"Seagate Laptop HDD 4TB, 2.5 / SATA 6Gb/s - - - ST4000LM016 - - - €289.95",72.49,0.85,24
"Western Digital WD Red Pro 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD4002FFWX - - - €289.95",72.49,5.8,29
"Seagate NAS HDD 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST2000VN000 - - - €146.22",73.11,3.7,23
"Western Digital WD Re 3TB, 24/7, 512n / 3.5 / SATA 6Gb/s - - - WD3000FYYZ - - - €219.95",73.32,8.1,31
"HGST MegaScale 4000 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HMS5C4040ALE640 / 0F22146 / 0F19847 - - - €299.75",74.94,4.9,25
"Toshiba Mobile HDD MQ01-Series 320GB, 512e / 2.5 / SATA 3Gb/s - - - MQ01ABD032 - - - €23.99",74.97,0.55,17
"Toshiba DT01ACA 2TB, 512e / 3.5 / SATA 6Gb/s - - - DT01ACA200 - - - €149.95",74.98,5.2,27
"HGST Travelstar 7K1000 1TB, 512e / 2.5 / SATA 6Gb/s - - - HTS721010A9E630 / 0J22423 - - - €75",75,1,25
"Western Digital WD Red Plus 1TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD10EFRX - - - €75.48",75.48,2.3,21
"Western Digital WD Purple 1TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD10PURZ - - - €75.5",75.5,2.9,21
"Seagate IronWolf NAS HDD +Rescue 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST6000VN001 - - - €456.59",76.1,3.4,26
"Seagate Constellation ES.3 3TB, 24/7, 512n / 3.5 / SATA 6Gb/s - - - ST3000NM0033 - - - €229.95",76.65,6.73,28
"HGST Ultrastar He6 6TB, SED, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUS726060ALA641 / 0F20572 - - - €461.59",76.93,3.7,20
"Western Digital WD Blue Mobile 750GB, 512e / 2.5 / SATA 3Gb/s - - - WD7500BPVT - - - €58.9",78.53,0.65,24
"Western Digital Ultrastar DC HC510 8TB, ISE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - HUH721008AL5200 / 0F27356 - - - €629.95",78.74,5.8,20
"Western Digital WD Re 1TB, 24/7, 512n / 3.5 / SATA 6Gb/s - - - WD1004FBYZ - - - €79.32",79.32,5.9,28
"Western Digital Ultrastar DC HA210 1TB, SE, 24/7, 512n / 3.5 / SATA 6Gb/s - - - HUS722T1TALA604 / 1W10001 - - - €79.34",79.34,5.9,25
"Western Digital WD AV-GP 500GB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD5000AURX - - - €39.95",79.9,3.3,23
"Seagate BarraCuda EcoGreen F4 2TB, 512e / 3.5 / SATA 3Gb/s - - - ST2000DL004 / HD204UI - - - €159.95",79.98,5.1,26
"HGST Ultrastar 7K4000 4TB, 24/7, 512n / 3.5 / SAS 6Gb/s - - - HUS724040ALS640 / 0B26885 - - - €319.95",79.99,7.6,29
"HGST Ultrastar 7K6000 4TB, ISE, 24/7, 512n / 3.5 / SATA 6Gb/s - - - HUS726040ALA610 / 0F23090 - - - €319.95",79.99,7.1,29
"HGST Ultrastar He6 6TB, 24/7, 512e / 3.5 / SAS 6Gb/s - - - HUS726060ALS640 / 0F18370 - - - €489.95",81.66,5.5,20
"Western Digital WD_BLACK 4TB, 512e / 3.5 / SATA 6Gb/s - - - WD4003FZEX - - - €327.25",81.81,8.1,29
"HGST Ultrastar 7K6000 4TB, ISE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - HUS726040AL5210 / 0F22795 - - - €329.95",82.49,7.7,29
"Western Digital WD_BLACK Mobile 1TB, 512e / 2.5 / SATA 6Gb/s - - - WD10SPSX - - - €82.6",82.6,0.85,24
"Seagate Constellation ES.3 2TB, 24/7, 3.5 / SAS 6Gb/s - - - ST2000NM0023 - - - €165.75",82.88,5.78,28
"Seagate Constellation ES.2 3TB, 24/7, 3.5 / SAS 6Gb/s - - - ST33000650SS - - - €249",83,7.4,28
"Seagate NAS HDD 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST3000VN000 - - - €249.95",83.32,4.9,23
"HGST Ultrastar He8 6TB, ISE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH728060ALE600 / 0F23269 - - - €499.95",83.33,5.1,20
"Toshiba Enterprise Capacity MG04ACA 2TB, 24/7, 512n / 3.5 / SATA 6Gb/s - - - MG04ACA200N - - - €169.95",84.98,6,31
"HGST MegaScale DC 4000.B 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HMS5C4040BLE640 / 0F22146 - - - €339.95",84.99,4.9,25
"Western Digital WD Purple 1TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD10PURX - - - €85.72",85.72,2.9,21
"Western Digital WD Re 5TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD5001FSYZ - - - €429.95",85.99,7.5,31
"Toshiba L200 Laptop PC Slim 1TB, 512e / 2.5 / SATA 6Gb/s, bulk - - - HDWL110UZSVA - - - €86.7",86.7,0.85,23
"HGST Ultrastar 7K6000 4TB, ISE, 24/7, 4Kn / 3.5 / SAS 12Gb/s - - - HUS726040AL4210 / 0F22794 - - - €349.75",87.44,7.7,29
"HGST Ultrastar 7K6000 6TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUS726060ALE614 / 0F23021 - - - €529.95",88.33,7.1,29
"Western Digital WD Red Pro 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD8001FFWX - - - €718.05",89.76,5.1,20
"Western Digital WD Laptop Everyday 500GB, 512e / 2.5 / SATA 3Gb/s, retail - - - WDBMYH5000ANC - - - €44.95",89.9,0.85,24
"Seagate Pipeline HD 5900.2 2TB, 24/7, 512e / 3.5 / SATA 3Gb/s - - - ST2000VM002 - - - €179.95",89.98,4.5,21
"Western Digital WD_BLACK 4TB, 512n / 3.5 / SATA 6Gb/s - - - WD4001FAEX - - - €369",92.25,8.1,29
"Seagate Samsung Spinpoint M8 750GB, 2.5 / SATA 3Gb/s - - - ST750LM022 / HN-MB - - - €69.21",92.28,0.7,24
"Western Digital WD Gold 1TB, 24/7, 512n / 3.5 / SATA 6Gb/s - - - WD1005FBYZ - - - €92.6",92.6,5.9,25
"Western Digital WD_BLACK Mobile 750GB, 512e / 2.5 / SATA 3Gb/s - - - WD7500BPKT - - - €69.95",93.27,0.8,28
"Seagate Surveillance HDD 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST3000VX006 - - - €279.95",93.32,5.4,23
"Seagate IronWolf NAS HDD +Rescue 2TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 2er-Pack - - - ST2000VN003_B2 - - - €187.55",93.78,2.5,23
"Seagate Constellation ES.3 2TB, 24/7, 512n / 3.5 / SATA 6Gb/s - - - ST2000NM0033 - - - €189.75",94.88,5.17,28
"Toshiba MQ-Series 2TB, 512e / 2.5 / SATA 3Gb/s - - - MQ01ABB200 - - - €189.95",94.98,0.7,25
"Seagate Desktop SSHD 4TB, 512e / 3.5 / SATA 6Gb/s - - - ST4000DX001 - - - €379.95",94.99,6.2,23
"Seagate Terascale 4TB, ISE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST4000NC000 - - - €379.95",94.99,4.59,28
"Toshiba Enterprise Capacity MG04SCA 4TB, 24/7, 512e / 3.5 / SAS 12Gb/s - - - MG04SCA40EE - - - €379.95",94.99,6.1,31
"HGST Ultrastar 7K6000 4TB, ISE, 24/7, 512n / 3.5 / SAS 12Gb/s - - - HUS726040ALS210 / 0F22941 - - - €379.95",94.99,7.7,29
"Seagate Constellation ES 2TB, SED, 24/7, 3.5 / SAS 6Gb/s - - - ST32000445SS - - - €193.89",96.95,8,27
"Seagate IronWolf NAS HDD +Rescue 8TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 4er-Pack - - - ST8000VN002_X4 - - - €778.04",97.26,3.4,27
"Western Digital WD Caviar Green 1TB, 512e / 3.5 / SATA 3Gb/s - - - WD10EARS - - - €98",98,3.3,23
"Western Digital WD_BLACK 3TB, 512e / 3.5 / SATA 6Gb/s - - - WD3003FZEX - - - €296.47",98.82,8.1,29
"Seagate FireCuda Compute SSHD 2TB, 512e / 2.5 / SATA 6Gb/s - - - ST2000LX001 - - - €197.95",98.98,0.5,22
"Western Digital WD Red Plus 8TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 4er-Pack - - - WD80EFPX_X4 - - - €794.58",99.32,3.4,24
"Western Digital WD Red Pro 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD4001FFSX - - - €399.06",99.77,6.5,31
"Western Digital WD Blue Mobile 1TB, 512e / 2.5 / SATA 6Gb/s - - - WD10JPCX - - - €99.95",99.95,0.57,20
"Seagate Surveillance HDD 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST2000VX000 - - - €199.95",99.98,5.4,26
"Western Digital WD Re 2TB, 24/7, 512n / 3.5 / SATA 6Gb/s - - - WD2000FYYZ - - - €199.95",99.98,6.2,31
"Toshiba Enterprise Capacity MG04SCA 2TB, 24/7, 512e / 3.5 / SAS 6Gb/s - - - MG04SCA200E - - - €199.95",99.98,6.2,31
"Seagate Constellation ES 2TB, 24/7, 3.5 / SATA 3Gb/s - - - ST32000644NS - - - €200.04",100.02,8,27
"HGST Ultrastar A7K2000 2TB, 24/7, 512n / 3.5 / SATA 3Gb/s - - - HUA722020ALA330 - - - €200.04",100.02,5.6,29
"Seagate IronWolf NAS HDD +Rescue 6TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 4er-Pack - - - ST6000VN006_X4 - - - €600.6",100.1,3.4,26
"HGST Ultrastar A7K2000 1TB, 24/7, 512e / 3.5 / SATA 3Gb/s - - - HUA722010CLA330 / 0A39289 - - - €100.48",100.48,3.9,24
"Seagate Constellation ES.2 2TB, SED, 24/7, 3.5 / SATA 6Gb/s - - - ST32000646NS - - - €205.12",102.56,7.7,28
"Seagate IronWolf NAS HDD +Rescue 10TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 4er-Pack - - - ST10000VN000_X4 - - - €1055.88",105.59,7.8,28
"Western Digital WD Blue Mobile 320GB, 512e / 2.5 / SATA 3Gb/s - - - WD3200BPVT - - - €33.83",105.72,0.85,22
"Toshiba P300 Desktop PC 1TB, 512e / 3.5 / SATA 6Gb/s, retail - - - HDWD110EZSTA - - - €106.17",106.17,3.7,25
"Seagate IronWolf NAS HDD +Rescue 8TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 4er-Pack - - - ST8000VN004_X4 - - - €852.92",106.62,7.2,28
"Western Digital WD_BLACK 1TB, 512e / 3.5 / SATA 6Gb/s - - - WD1003FZEX - - - €107.36",107.36,6.1,29
"Seagate IronWolf NAS HDD +Rescue 4TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 4er-Pack - - - ST4000VN006_X4 - - - €435.23",108.81,3.96,23
"Western Digital WD Re 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD6001FSYZ - - - €666.76",111.13,7.4,31
"Western Digital WD Red Plus 6TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 4er-Pack - - - WD60EFPX_X4 - - - €673.61",112.27,3.1,23
"Seagate BarraCuda Compute 500GB, 512e / 2.5 / SATA 6Gb/s - - - ST500LM030 / ST500LMA30 - - - €56.2",112.4,0.45,20
"Seagate Constellation ES.2 3TB, SED, 24/7, 3.5 / SAS 6Gb/s - - - ST33000651SS - - - €337.51",112.5,7.4,28
"Seagate Constellation CS 3TB, ISE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST3000NC000 - - - €339.75",113.25,5.53,25
"Western Digital WD Blue PC SSHD 4TB, 512e / 3.5 / SATA 6Gb/s - - - WD40E31X - - - €460.61",115.15,4.75,25
"Western Digital WD Green 1TB, 512e / 3.5 / SATA 6Gb/s - - - WD10EARX - - - €116.95",116.95,3.3,23
"Seagate FireCuda Compute SSHD 1TB, 512e / 2.5 / SATA 6Gb/s - - - ST1000LX015 - - - €117",117,0.45,20
"Seagate Exos E - 7E2000 2TB, 24/7, 512n / 2.5 / SATA 6Gb/s - - - ST2000NX0403 - - - €235",117.5,3.87,28
"HGST Travelstar Z7K500 500GB, 512e / 2.5 / SATA 6Gb/s - - - HTS725050A7E630 / 0J38075 / 0J26005 - - - €59.33",118.66,0.8,23
"Seagate Constellation CS 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST3000NC002 - - - €358.8",119.6,5.53,25
"Western Digital WD_BLACK Mobile 1TB, 512e / 2.5 / SATA 6Gb/s - - - WD10JPLX - - - €119.95",119.95,0.8,25
"Western Digital WD Red Plus 4TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 4er-Pack - - - WD40EFPX_X4 - - - €480",120,3.1,23
"Seagate IronWolf Pro NAS HDD +Rescue 8TB Bundle, 24/7, 512e / 3.5 / SATA 6Gb/s, 4er-Pack - - - ST8000NT001_X4 - - - €974.57",121.82,7.8,28
"Seagate Constellation ES.2 2TB, SED, 24/7, 3.5 / SAS 6Gb/s - - - ST32000646SS - - - €245.95",122.98,7.4,28
"Seagate BarraCuda EcoGreen F3 1TB, 3.5 / SATA 3Gb/s - - - ST1000DM005 / HD103SJ - - - €123.05",123.05,6.2,29
"HGST Ultrastar 7K6000 4TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUS726040ALE614 / 0F23025 - - - €499.75",124.94,7.1,29
"Seagate Constellation ES.2 2TB, 24/7, 3.5 / SAS 6Gb/s - - - ST32000645SS - - - €249.95",124.98,7.4,28
"HGST Ultrastar 7K6000 2TB, ISE, 24/7, 512n / 3.5 / SAS 12Gb/s - - - HUS726020ALS210 / 0F22943 - - - €249.95",124.98,7.7,29
"Seagate Constellation ES.2 2TB, 24/7, 3.5 / SATA 6Gb/s - - - ST32000645NS - - - €255.44",127.72,7.7,28
"Seagate BarraCuda 7200.12 1TB, 3.5 / SATA 6Gb/s - - - ST31000524AS - - - €129.11",129.11,5,25
"Western Digital WD Se 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD3000F9YZ - - - €388.8",129.6,8.1,31
"HGST Ultrastar 7K6000 2TB, ISE, 24/7, 512n / 3.5 / SATA 6Gb/s - - - HUS726020ALA610 / 0F23092 - - - €259.95",129.98,7.1,29
"Toshiba Mobile HDD MQ01-Series 1TB, 512e / 2.5 / SATA 3Gb/s - - - MQ01ABD100M - - - €132",132,0.55,23
