description,price/TB,idle,noise
"Western Digital WD Blue 8TB, 512e / 3.5 / SATA 6Gb/s - - - WD80EAAZ - - - €194.42",24.3,3.4,24
"Seagate IronWolf Pro NAS HDD +Rescue 18TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST18000NT001 - - - €438.56",24.36,5.2,20
"Seagate IronWolf Pro NAS HDD +Rescue 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST12000NT001 - - - €293.59",24.47,5,20
"Western Digital WD Gold 14TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD142KRYZ - - - €342.6",24.47,5.6,20
"Western Digital WD Red Plus 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD80EFPX - - - €195.9",24.49,3.4,24
"Seagate BarraCuda Compute 6TB, 512e / 3.5 / SATA 6Gb/s - - - ST6000DM003 / ST6000DMA03 - - - €147",24.5,3.4,23
"Western Digital WD Purple 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD85PURZ - - - €196.07",24.51,4.7,24
"Toshiba Enterprise Capacity MG10-D ADA 10TB, 24/7, 512e/4Kn / 3.5 / SATA 6Gb/s - - - MG10ADA10TE - - - €246.04",24.6,5.74,34
"Seagate IronWolf NAS HDD +Rescue 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST6000VN006 - - - €148.9",24.82,3.4,26
"Seagate IronWolf NAS HDD +Rescue 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST10000VN000 - - - €249",24.9,7.8,28
"Western Digital WD Red Pro 18TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD181KFGX - - - €448.98",24.94,3.6,20
"Seagate IronWolf Pro NAS HDD +Rescue 14TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST14000NE0008 - - - €349.75",24.98,5,20
"Western Digital Ultrastar DC HC560 20TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUH722020ALE6L4 / 0F38755 - - - €499.9",25,6.1,20
"Western Digital Ultrastar DC HC555 14TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH722014CL52L4 / 0B47743 - - - €350.69",25.05,5.7,20
"Western Digital WD Red Pro 24TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD240KFGX - - - €606.05",25.25,3.9,20
"Western Digital WD Purple Pro 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD121PURP - - - €303.49",25.29,5.6,20
"Western Digital Ultrastar DC HC330 10TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUS721010ALE6L4 / 0B42266 - - - €253.62",25.36,8,34
"Western Digital Ultrastar DC HC320 8TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUS728T8TALE6L4 / 0B36404 / 0B36452 - - - €204.23",25.53,7.4,29
"Toshiba N300 NAS Systems 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWG21CUZSVA - - - €306.99",25.58,3.78,20
"Toshiba Enterprise Capacity MG10-D SDA 10TB, 24/7, 512e/4Kn / 3.5 / SAS 12Gb/s - - - MG10SDA10TE - - - €256.4",25.64,6.15,34
"Toshiba S300 Pro Surveillance 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - MD10ADA800V - - - €205.16",25.65,4.92,34
"Western Digital WD Purple Pro 22TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD221PURP - - - €564.96",25.68,5.6,20
"Western Digital WD Red Plus 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD101EFBX - - - €257.14",25.71,4.6,34
"Western Digital Ultrastar DC HC520 12TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH721212ALE604 / 0F30146 - - - €309.67",25.81,5.3,20
"Western Digital WD Red Pro 22TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD221KFGX - - - €568.94",25.86,3.4,20
"Toshiba N300 NAS Systems 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - MN10ADA600S - - - €155.36",25.89,4.14,34
"Western Digital Ultrastar DC HC555 14TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUH722014CLE6L4 / 0B48721 - - - €362.71",25.91,5.3,20
"Seagate IronWolf Pro NAS HDD +Rescue 20TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST20000NE000 - - - €519.89",25.99,5.5,20
"Western Digital WD Gold 22TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD221KRYZ - - - €572.09",26,5.7,20
"Seagate SkyHawk AI +Rescue 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST10000VE001 - - - €260.41",26.04,7.76,28
"Seagate IronWolf NAS HDD +Rescue 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST4000VN006 - - - €104.5",26.13,3.96,23
"Western Digital WD Blue 4TB, 512e / 3.5 / SATA 6Gb/s - - - WD40EZAX - - - €104.7",26.18,3.1,23
"Seagate IronWolf Pro NAS HDD +Rescue 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST8000NT001 - - - €209.68",26.21,7.8,28
"Western Digital Ultrastar DC HA340 12TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUS721212BLE6L4 / 0B47063 - - - €314.6",26.22,8.4,34
"Western Digital WD Red Pro 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD8003FFBX - - - €209.75",26.22,4.6,29
"Toshiba N300 NAS Systems 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s, retail - - - HDWG760EZSTA - - - €157.96",26.33,4.14,34
"Western Digital Ultrastar DC HA340 10TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUS721210BLE6L4 / 0B47062 - - - €263.65",26.37,8.4,34
"Western Digital WD Red Pro 20TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD201KFGX - - - €527.77",26.39,3.8,20
"Western Digital WD Red Plus 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD60EFPX - - - €158.88",26.48,3.1,23
"Western Digital WD Purple Pro 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD101PURP - - - €265.59",26.56,8,34
"Western Digital WD Gold 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD103KRYZ - - - €266.8",26.68,8.3,34
"Western Digital Ultrastar DC HC330 10TB, TCG, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUS721010ALE6L1 / 0B42270 - - - €267.2",26.72,8,34
"Western Digital WD Red Pro 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD122KFBX - - - €320.67",26.72,6.1,34
"Western Digital WD Gold 26TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD261KRYZ - - - €695.05",26.73,5.5,20
"Western Digital WD Gold 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD122KRYZ - - - €321.36",26.78,8.4,34
"Western Digital WD Red Pro 14TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD142KFGX - - - €376.85",26.92,3.6,20
"Western Digital WD Purple Pro 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD122PURP - - - €323.08",26.92,8.2,34
