price/TB,idle,noise
139.95,2.5,21
139.95,0.6,24
139.98,5.9,31
143.14,0.85,24
143.44,0.5,19
144.98,5.9,25
144.98,6.5,29
147.5,3.87,28
148.24,5.53,24
148.24,4.9,31
150.93,5.5,27
160.4,0.5,19
163.36,3.96,23
163.63,5.17,28
165.83,4.26,31
168.4,3.1,23
168.98,3.53,28
169.75,3.51,28
174.14,3.29,28
174.88,7.7,29
175.9,2.9,24
176.38,3.53,28
179.75,3.36,23
180,3.1,23
183.29,3.7,31
184.95,4.45,28
185.06,5.6,29
186.6,0.55,23
187.6,7.26,27
187.75,3.51,28
189.07,2.5,23
193.9,3.7,21
194.66,5.9,28
194.95,3.29,28
195.08,4.9,29
197.27,1.2,23
199.95,4.45,28
205.15,3.53,28
213.27,0.8,28
213.88,3.87,28
214.75,6,22
215.75,3.29,28
217.82,3.96,23
222.19,5.7,34
227.4,4.55,31
227.4,5.7,34
227.91,3.88,31
235.69,5.53,22
235.9,4.6,30
241.46,4.55,31
243.95,3.3,23
244.39,4.55,31
249.96,4.6,34
249.97,4.55,31
254.33,5.7,34
256.41,4.2,30
260.4,4.7,31
266.64,4.55,31
277.75,5.7,34
279.95,3.51,28
287.19,5.53,22
295.9,6.1,29
299.79,5.7,34
299.92,3.91,31
299.94,4.7,31
308.13,4.6,34
316.58,3.44,31
316.58,3.91,31
316.58,3.91,31
316.58,4.7,31
316.64,4.55,31
319.94,5.7,34
322.17,3.88,31
336.43,4.2,30
367.26,3.9,24
376.66,5.7,34
379.5,4.2,30
388.83,5.3,30
392.82,4.3,30
393.17,5.7,34
403.18,0.5,19
409.92,4.3,30
410.22,5.3,30
423.17,5.3,30
484.22,4.9,29
532.5,5.7,34
559.83,3.09,31
572.44,5.6,19
592.94,5.6,19
646.3,4.3,30
"1,711.88",4.9,29
"3,698.75",2.5,22
